Weed Name,Soil Type,Growth Stage,Temp (°C),Wind Speed (km/h),Rainfall (mm),Humidity (%),Herbicide Name,Application Rate (L/ha),Success Rate (%),,,,Herbicide Name,
Black Nightshade,Loamy,Early,31,7,2,88,Flumioxazin,1.7,94,,,,Flumioxazin,
Cutleaf Nightshade,Loamy,Early,37,13,5,43,Pendimethalin,2.6,73,,,,Pendimethalin,
Hairy Nightshade,Clay,Mature,30,15,10,49,Glufosinate,1.9,90,,,,Glufosinate,
Ground Cherry,Loamy,Early,40,14,5,82,Flumioxazin,3,80,,,,Flumioxazin,
Cutleaf Nightshade,Clay,Early,24,10,2,72,Imazapyr,1.5,89,,,,Imazapyr,
Hairy Nightshade,Clay,Early,34,11,8,45,Flumioxazin,2.7,79,,,,Flumioxazin,
Black Nightshade,Clay,Mature,22,14,10,49,Glyphosate,1,93,,,,Glyphosate,
Black Nightshade,Loamy,Mature,23,14,2,64,Atrazine,2.8,70,,,,Atrazine,
Black Nightshade,Loamy,Mature,36,7,6,74,Glufosinate,3,77,,,,Glufosinate,
Black Nightshade,Clay,Early,28,11,3,48,Imazapyr,2.8,87,,,,Imazapyr,
Cutleaf Nightshade,Clay,Early,22,4,3,52,Glyphosate,2,78,,,,Glyphosate,
Black Nightshade,Clay,Mature,39,4,0,79,Paraquat,2,81,,,,Paraquat,
Black Nightshade,Loamy,Early,33,7,8,30,Atrazine,1.1,76,,,,Atrazine,
Cutleaf Nightshade,Clay,Early,24,11,0,30,Pendimethalin,1.2,94,,,,Pendimethalin,
Black Nightshade,Clay,Early,22,9,3,51,Paraquat,1.4,73,,,,Paraquat,
Cutleaf Nightshade,Clay,Early,23,7,3,43,Pendimethalin,1.9,81,,,,Pendimethalin,
Ground Cherry,Clay,Early,36,5,5,41,Metolachlor,3,89,,,,Metolachlor,
Ground Cherry,Clay,Mature,22,3,3,53,Trifluralin,1.9,74,,,,Trifluralin,
Ground Cherry,Sandy,Early,20,11,7,64,Atrazine,2.4,87,,,,Atrazine,
Black Nightshade,Loamy,Mature,28,1,5,63,Glyphosate,1.4,75,,,,Glyphosate,
Ground Cherry,Loamy,Early,35,9,1,63,Pendimethalin,2.2,86,,,,Pendimethalin,
Ground Cherry,Loamy,Early,33,8,1,52,Flumioxazin,2.6,77,,,,Flumioxazin,
Ground Cherry,Loamy,Early,34,11,4,45,Paraquat,2.7,76,,,,Paraquat,
Cutleaf Nightshade,Loamy,Early,24,4,5,43,Atrazine,2.9,90,,,,Atrazine,
Hairy Nightshade,Sandy,Early,38,13,1,74,Metolachlor,1.8,85,,,,Metolachlor,
Hairy Nightshade,Clay,Mature,32,1,0,64,Flumioxazin,1.8,88,,,,Flumioxazin,
Ground Cherry,Sandy,Mature,23,7,7,78,Trifluralin,1.1,77,,,,Trifluralin,
Black Nightshade,Sandy,Mature,40,8,3,35,Sulfentrazone,1,77,,,,Sulfentrazone,
Ground Cherry,Loamy,Mature,35,6,4,41,Glyphosate,1.5,90,,,,Glyphosate,
Cutleaf Nightshade,Loamy,Mature,40,14,6,43,Metolachlor,3,79,,,,Metolachlor,
Ground Cherry,Sandy,Mature,23,15,9,67,Trifluralin,2.7,75,,,,Trifluralin,
Black Nightshade,Loamy,Mature,29,11,10,72,Pendimethalin,2.6,92,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Mature,32,4,9,56,Glufosinate,1,77,,,,Glufosinate,
Hairy Nightshade,Sandy,Early,27,9,10,60,Flumioxazin,1,85,,,,Flumioxazin,
Ground Cherry,Loamy,Mature,35,9,9,46,Pendimethalin,1.8,83,,,,Pendimethalin,
Hairy Nightshade,Sandy,Early,27,11,7,87,Metolachlor,1.2,89,,,,Metolachlor,
Ground Cherry,Loamy,Mature,27,12,7,63,Metolachlor,1.7,84,,,,Metolachlor,
Ground Cherry,Loamy,Early,35,10,1,63,Glufosinate,1.9,75,,,,Glufosinate,
Hairy Nightshade,Clay,Early,26,9,8,67,Trifluralin,1.9,77,,,,Trifluralin,
Black Nightshade,Clay,Mature,20,15,8,38,Sulfentrazone,2.5,88,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Early,22,9,10,53,Metolachlor,1.8,95,,,,Metolachlor,
Ground Cherry,Sandy,Mature,27,0,6,68,Pendimethalin,1.3,86,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Mature,40,3,10,64,Flumioxazin,1.2,84,,,,Flumioxazin,
Cutleaf Nightshade,Clay,Mature,39,11,5,80,Imazapyr,1,78,,,,Imazapyr,
Black Nightshade,Sandy,Early,26,0,5,63,Paraquat,3,74,,,,Paraquat,
Cutleaf Nightshade,Loamy,Mature,38,11,1,73,Metolachlor,2.2,91,,,,Metolachlor,
Ground Cherry,Sandy,Mature,35,0,7,68,Glyphosate,1.1,85,,,,Glyphosate,
Ground Cherry,Sandy,Mature,29,12,6,57,Paraquat,1.7,94,,,,Paraquat,
Cutleaf Nightshade,Sandy,Mature,38,11,5,53,Atrazine,2.7,91,,,,Atrazine,
Ground Cherry,Loamy,Early,21,15,3,39,Sulfentrazone,1.8,71,,,,Sulfentrazone,
Hairy Nightshade,Sandy,Mature,35,5,7,46,Metolachlor,2.3,94,,,,Metolachlor,
Ground Cherry,Loamy,Early,40,8,1,82,Imazapyr,1.2,77,,,,Imazapyr,
Hairy Nightshade,Loamy,Early,24,7,6,85,Sulfentrazone,1.5,83,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Mature,36,14,8,54,Glufosinate,2.9,75,,,,Glufosinate,
Cutleaf Nightshade,Loamy,Mature,38,6,9,90,Metolachlor,1.3,87,,,,Metolachlor,
Black Nightshade,Sandy,Mature,25,14,5,64,Pendimethalin,3,81,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Early,31,8,10,33,Metolachlor,2.6,94,,,,Metolachlor,
Cutleaf Nightshade,Sandy,Mature,34,7,6,84,Glyphosate,1.5,73,,,,Glyphosate,
Cutleaf Nightshade,Clay,Mature,21,4,7,66,Sulfentrazone,1.7,74,,,,Sulfentrazone,
Cutleaf Nightshade,Loamy,Early,29,8,5,71,Atrazine,1.3,75,,,,Atrazine,
Black Nightshade,Clay,Mature,20,0,6,90,Pendimethalin,2.2,74,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Mature,31,13,2,38,Paraquat,1.2,77,,,,Paraquat,
Ground Cherry,Loamy,Mature,21,13,1,39,Pendimethalin,2.9,83,,,,Pendimethalin,
Ground Cherry,Clay,Mature,27,5,5,81,Glufosinate,2.2,85,,,,Glufosinate,
Ground Cherry,Loamy,Mature,29,15,1,77,Atrazine,2.3,90,,,,Atrazine,
Hairy Nightshade,Clay,Early,39,10,2,76,Sulfentrazone,1.6,80,,,,Sulfentrazone,
Hairy Nightshade,Sandy,Early,33,4,0,75,Metolachlor,3,80,,,,Metolachlor,
Cutleaf Nightshade,Sandy,Mature,40,0,2,86,Sulfentrazone,2.6,86,,,,Sulfentrazone,
Ground Cherry,Loamy,Early,37,2,1,45,Trifluralin,2.8,94,,,,Trifluralin,
Hairy Nightshade,Sandy,Mature,38,7,8,63,Paraquat,1.7,78,,,,Paraquat,
Cutleaf Nightshade,Clay,Early,39,1,7,72,Glufosinate,2.7,85,,,,Glufosinate,
Black Nightshade,Clay,Early,37,12,6,79,Trifluralin,2.5,91,,,,Trifluralin,
Black Nightshade,Clay,Early,38,8,3,89,Glufosinate,2.1,75,,,,Glufosinate,
Cutleaf Nightshade,Clay,Mature,32,1,9,81,Pendimethalin,2.2,78,,,,Pendimethalin,
Black Nightshade,Clay,Early,20,12,9,42,Glyphosate,2.4,83,,,,Glyphosate,
Cutleaf Nightshade,Sandy,Early,32,2,3,81,Glyphosate,1.3,83,,,,Glyphosate,
Cutleaf Nightshade,Clay,Mature,28,5,8,54,Pendimethalin,1.8,95,,,,Pendimethalin,
Ground Cherry,Clay,Early,40,6,4,87,Trifluralin,2.3,83,,,,Trifluralin,
Cutleaf Nightshade,Sandy,Early,28,3,3,45,Sulfentrazone,1.2,86,,,,Sulfentrazone,
Ground Cherry,Clay,Early,21,3,7,79,Sulfentrazone,2.8,86,,,,Sulfentrazone,
Ground Cherry,Sandy,Early,35,12,3,81,Sulfentrazone,1.7,73,,,,Sulfentrazone,
Black Nightshade,Sandy,Early,32,6,6,63,Paraquat,2.6,92,,,,Paraquat,
Hairy Nightshade,Sandy,Mature,32,12,8,81,Atrazine,1.2,70,,,,Atrazine,
Ground Cherry,Sandy,Early,21,13,8,60,Atrazine,2.8,90,,,,Atrazine,
Hairy Nightshade,Loamy,Early,35,2,6,38,Metolachlor,1.9,90,,,,Metolachlor,
Ground Cherry,Clay,Mature,24,0,2,69,Imazapyr,2.9,71,,,,Imazapyr,
Cutleaf Nightshade,Sandy,Early,35,2,6,84,Paraquat,2.2,70,,,,Paraquat,
Hairy Nightshade,Sandy,Mature,26,0,3,36,Glyphosate,2.6,92,,,,Glyphosate,
Hairy Nightshade,Sandy,Mature,20,12,8,66,Glufosinate,2.3,78,,,,Glufosinate,
Ground Cherry,Loamy,Early,27,4,2,82,Trifluralin,2.6,94,,,,Trifluralin,
Ground Cherry,Sandy,Mature,28,8,8,82,Flumioxazin,1.2,94,,,,Flumioxazin,
Black Nightshade,Clay,Mature,38,3,7,42,Sulfentrazone,1.4,75,,,,Sulfentrazone,
Hairy Nightshade,Loamy,Early,34,11,0,58,Imazapyr,3,88,,,,Imazapyr,
Cutleaf Nightshade,Loamy,Mature,29,0,9,31,Trifluralin,1.3,73,,,,Trifluralin,
Ground Cherry,Sandy,Early,32,4,1,67,Sulfentrazone,1.7,89,,,,Sulfentrazone,
Ground Cherry,Loamy,Early,32,5,9,34,Sulfentrazone,2.2,93,,,,Sulfentrazone,
Ground Cherry,Clay,Mature,37,7,1,90,Atrazine,1.4,84,,,,Atrazine,
Cutleaf Nightshade,Loamy,Early,26,1,8,81,Flumioxazin,1.2,92,,,,Flumioxazin,
Ground Cherry,Loamy,Early,24,5,6,34,Glyphosate,1.6,88,,,,Glyphosate,
Ground Cherry,Clay,Early,30,11,7,48,Trifluralin,2.3,71,,,,Trifluralin,
Black Nightshade,Clay,Mature,24,1,4,80,Paraquat,1.8,91,,,,Paraquat,
Hairy Nightshade,Sandy,Early,34,0,1,33,Glyphosate,2.1,70,,,,Glyphosate,
Cutleaf Nightshade,Loamy,Mature,36,12,10,49,Sulfentrazone,2.7,87,,,,Sulfentrazone,
Hairy Nightshade,Loamy,Mature,39,13,2,90,Flumioxazin,3,80,,,,Flumioxazin,
Hairy Nightshade,Loamy,Early,23,15,7,48,Sulfentrazone,3,85,,,,Sulfentrazone,
Hairy Nightshade,Loamy,Early,35,2,8,47,Glyphosate,1.5,81,,,,Glyphosate,
Cutleaf Nightshade,Loamy,Mature,33,12,6,54,Paraquat,1.9,75,,,,Paraquat,
Black Nightshade,Loamy,Early,31,2,7,80,Metolachlor,2.8,88,,,,Metolachlor,
Ground Cherry,Sandy,Mature,37,2,8,89,Atrazine,1,84,,,,Atrazine,
Black Nightshade,Clay,Early,22,12,5,86,Glyphosate,1.1,83,,,,Glyphosate,
Hairy Nightshade,Loamy,Mature,29,2,4,55,Trifluralin,1.5,72,,,,Trifluralin,
Hairy Nightshade,Loamy,Early,33,13,2,61,Glyphosate,2.4,79,,,,Glyphosate,
Cutleaf Nightshade,Loamy,Mature,39,2,5,39,Glyphosate,1.8,95,,,,Glyphosate,
Black Nightshade,Clay,Early,20,4,6,82,Metolachlor,2.9,91,,,,Metolachlor,
Ground Cherry,Clay,Early,26,10,9,46,Sulfentrazone,1.9,84,,,,Sulfentrazone,
Black Nightshade,Loamy,Mature,39,14,3,46,Glyphosate,1.8,85,,,,Glyphosate,
Hairy Nightshade,Sandy,Early,38,9,7,58,Pendimethalin,1.8,86,,,,Pendimethalin,
Ground Cherry,Clay,Early,35,13,10,86,Sulfentrazone,1,71,,,,Sulfentrazone,
Cutleaf Nightshade,Sandy,Early,23,3,0,37,Atrazine,1.1,91,,,,Atrazine,
Hairy Nightshade,Sandy,Mature,34,15,3,35,Imazapyr,2.7,82,,,,Imazapyr,
Cutleaf Nightshade,Sandy,Mature,37,1,0,49,Atrazine,2.7,93,,,,Atrazine,
Ground Cherry,Loamy,Early,20,10,6,69,Sulfentrazone,1.5,83,,,,Sulfentrazone,
Ground Cherry,Sandy,Early,22,3,6,69,Glufosinate,1.6,77,,,,Glufosinate,
Black Nightshade,Clay,Early,24,3,5,55,Metolachlor,1.3,86,,,,Metolachlor,
Ground Cherry,Loamy,Early,30,8,8,63,Glufosinate,2.2,92,,,,Glufosinate,
Black Nightshade,Clay,Mature,24,11,3,81,Metolachlor,1.4,80,,,,Metolachlor,
Cutleaf Nightshade,Sandy,Mature,20,14,2,71,Glufosinate,2.2,70,,,,Glufosinate,
Cutleaf Nightshade,Sandy,Early,36,11,4,69,Paraquat,2,91,,,,Paraquat,
Hairy Nightshade,Clay,Early,24,12,1,44,Glufosinate,2,94,,,,Glufosinate,
Cutleaf Nightshade,Clay,Early,28,9,9,50,Sulfentrazone,1.3,73,,,,Sulfentrazone,
Black Nightshade,Clay,Mature,40,8,5,30,Pendimethalin,1.9,90,,,,Pendimethalin,
Black Nightshade,Clay,Mature,28,5,2,75,Flumioxazin,1.2,75,,,,Flumioxazin,
Black Nightshade,Sandy,Mature,35,7,8,62,Sulfentrazone,2.1,83,,,,Sulfentrazone,
Hairy Nightshade,Clay,Early,39,9,1,50,Atrazine,1.6,81,,,,Atrazine,
Black Nightshade,Sandy,Mature,33,12,1,77,Flumioxazin,1.1,86,,,,Flumioxazin,
Cutleaf Nightshade,Loamy,Mature,35,5,5,55,Atrazine,2.2,87,,,,Atrazine,
Hairy Nightshade,Clay,Early,31,8,4,34,Glyphosate,2.1,71,,,,Glyphosate,
Ground Cherry,Clay,Mature,20,0,0,84,Imazapyr,2.1,70,,,,Imazapyr,
Cutleaf Nightshade,Loamy,Early,33,6,5,37,Glufosinate,2.6,79,,,,Glufosinate,
Cutleaf Nightshade,Loamy,Mature,33,0,9,36,Atrazine,1.5,70,,,,Atrazine,
Ground Cherry,Clay,Mature,40,15,4,74,Atrazine,2.1,80,,,,Atrazine,
Ground Cherry,Loamy,Mature,27,7,0,51,Glufosinate,2.5,71,,,,Glufosinate,
Hairy Nightshade,Sandy,Early,31,13,7,86,Paraquat,1.9,93,,,,Paraquat,
Black Nightshade,Loamy,Mature,31,1,8,51,Paraquat,2.1,83,,,,Paraquat,
Cutleaf Nightshade,Loamy,Early,21,11,7,38,Glufosinate,1.9,77,,,,Glufosinate,
Ground Cherry,Clay,Early,26,7,1,61,Pendimethalin,2.3,95,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Mature,39,13,4,41,Atrazine,1.2,73,,,,Atrazine,
Black Nightshade,Loamy,Mature,34,1,9,40,Glufosinate,2.9,87,,,,Glufosinate,
Black Nightshade,Loamy,Early,36,13,1,79,Trifluralin,2.5,80,,,,Trifluralin,
Cutleaf Nightshade,Loamy,Mature,39,6,3,89,Flumioxazin,1.5,73,,,,Flumioxazin,
Cutleaf Nightshade,Clay,Mature,29,2,4,63,Pendimethalin,1.6,76,,,,Pendimethalin,
Cutleaf Nightshade,Sandy,Mature,39,5,8,84,Glufosinate,2.5,88,,,,Glufosinate,
Black Nightshade,Clay,Mature,36,9,7,32,Paraquat,2,77,,,,Paraquat,
Hairy Nightshade,Clay,Early,35,10,1,70,Pendimethalin,2.3,82,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Mature,33,1,9,61,Trifluralin,2.6,89,,,,Trifluralin,
Hairy Nightshade,Sandy,Mature,24,14,0,48,Glyphosate,1.2,80,,,,Glyphosate,
Black Nightshade,Sandy,Mature,24,0,8,33,Sulfentrazone,3,75,,,,Sulfentrazone,
Black Nightshade,Sandy,Early,33,15,1,36,Paraquat,1.9,70,,,,Paraquat,
Hairy Nightshade,Loamy,Early,39,3,2,74,Paraquat,1,93,,,,Paraquat,
Hairy Nightshade,Clay,Mature,38,4,0,80,Flumioxazin,1.6,88,,,,Flumioxazin,
Hairy Nightshade,Loamy,Mature,28,7,7,65,Pendimethalin,3,85,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Early,34,12,5,37,Atrazine,2,87,,,,Atrazine,
Cutleaf Nightshade,Loamy,Early,30,4,8,60,Flumioxazin,2.3,84,,,,Flumioxazin,
Black Nightshade,Loamy,Mature,28,3,7,66,Atrazine,1.3,85,,,,Atrazine,
Ground Cherry,Clay,Mature,25,7,2,60,Trifluralin,2.5,81,,,,Trifluralin,
Cutleaf Nightshade,Loamy,Mature,30,0,7,65,Glufosinate,2.5,92,,,,Glufosinate,
Cutleaf Nightshade,Sandy,Mature,28,14,8,63,Glufosinate,2,72,,,,Glufosinate,
Ground Cherry,Sandy,Mature,23,12,2,31,Paraquat,2.7,76,,,,Paraquat,
Black Nightshade,Sandy,Early,30,4,8,90,Pendimethalin,1.2,81,,,,Pendimethalin,
Hairy Nightshade,Loamy,Early,34,7,6,79,Imazapyr,2.3,73,,,,Imazapyr,
Black Nightshade,Loamy,Early,39,7,10,40,Imazapyr,2.2,89,,,,Imazapyr,
Ground Cherry,Loamy,Early,37,1,2,62,Atrazine,1.8,76,,,,Atrazine,
Cutleaf Nightshade,Loamy,Mature,27,3,9,54,Atrazine,2.9,71,,,,Atrazine,
Black Nightshade,Loamy,Mature,21,8,5,47,Flumioxazin,2.2,77,,,,Flumioxazin,
Hairy Nightshade,Sandy,Mature,27,14,6,53,Trifluralin,2.4,87,,,,Trifluralin,
Black Nightshade,Sandy,Early,32,8,7,49,Glufosinate,1.8,74,,,,Glufosinate,
Hairy Nightshade,Sandy,Mature,38,13,0,56,Atrazine,1.5,87,,,,Atrazine,
Black Nightshade,Clay,Mature,35,2,10,32,Flumioxazin,1.6,94,,,,Flumioxazin,
Ground Cherry,Clay,Early,34,9,1,83,Glyphosate,2.7,90,,,,Glyphosate,
Hairy Nightshade,Sandy,Early,33,10,8,74,Glyphosate,2.6,76,,,,Glyphosate,
Ground Cherry,Sandy,Early,37,4,2,57,Imazapyr,1.4,88,,,,Imazapyr,
Ground Cherry,Sandy,Early,20,9,8,84,Flumioxazin,2.3,70,,,,Flumioxazin,
Ground Cherry,Loamy,Mature,30,5,4,38,Pendimethalin,1.8,72,,,,Pendimethalin,
Hairy Nightshade,Clay,Mature,34,14,7,75,Paraquat,1.4,72,,,,Paraquat,
Black Nightshade,Clay,Early,30,0,2,44,Flumioxazin,1.3,76,,,,Flumioxazin,
Ground Cherry,Clay,Mature,20,2,4,86,Trifluralin,2.3,79,,,,Trifluralin,
Hairy Nightshade,Clay,Early,25,8,9,41,Trifluralin,1.6,72,,,,Trifluralin,
Black Nightshade,Clay,Mature,32,1,1,37,Imazapyr,1.4,89,,,,Imazapyr,
Cutleaf Nightshade,Sandy,Mature,33,13,5,84,Pendimethalin,1.9,75,,,,Pendimethalin,
Black Nightshade,Clay,Mature,23,9,8,85,Paraquat,2.4,89,,,,Paraquat,
Black Nightshade,Sandy,Early,28,14,8,84,Pendimethalin,2.7,95,,,,Pendimethalin,
Cutleaf Nightshade,Clay,Early,40,15,10,72,Glyphosate,1.2,94,,,,Glyphosate,
Ground Cherry,Sandy,Mature,23,5,3,78,Atrazine,2.6,79,,,,Atrazine,
Cutleaf Nightshade,Clay,Early,30,11,4,68,Atrazine,2.7,74,,,,Atrazine,
Ground Cherry,Sandy,Mature,28,7,2,39,Trifluralin,1.6,88,,,,Trifluralin,
Hairy Nightshade,Clay,Early,24,4,6,72,Paraquat,2.1,75,,,,Paraquat,
Hairy Nightshade,Sandy,Mature,30,5,6,55,Trifluralin,1.3,71,,,,Trifluralin,
Cutleaf Nightshade,Clay,Mature,21,3,5,58,Paraquat,1.6,81,,,,Paraquat,
Black Nightshade,Clay,Mature,23,1,10,42,Sulfentrazone,1.8,70,,,,Sulfentrazone,
Hairy Nightshade,Loamy,Mature,24,7,1,51,Glyphosate,2.6,70,,,,Glyphosate,
Ground Cherry,Loamy,Mature,38,11,3,33,Glufosinate,3,94,,,,Glufosinate,
Ground Cherry,Clay,Early,38,13,2,84,Pendimethalin,2.3,78,,,,Pendimethalin,
Cutleaf Nightshade,Loamy,Early,26,10,0,67,Glufosinate,2.4,79,,,,Glufosinate,
Ground Cherry,Clay,Early,26,2,9,34,Paraquat,2.3,93,,,,Paraquat,
Black Nightshade,Sandy,Mature,35,1,10,86,Glyphosate,1.4,94,,,,Glyphosate,
Hairy Nightshade,Loamy,Mature,21,14,9,43,Pendimethalin,2.4,75,,,,Pendimethalin,
Ground Cherry,Loamy,Mature,29,8,1,69,Atrazine,2.5,73,,,,Atrazine,
Black Nightshade,Clay,Early,32,12,7,64,Imazapyr,1.9,78,,,,Imazapyr,
Hairy Nightshade,Clay,Mature,23,11,1,44,Glufosinate,1,93,,,,Glufosinate,
Black Nightshade,Sandy,Mature,31,1,0,37,Pendimethalin,2.1,81,,,,Pendimethalin,
Black Nightshade,Sandy,Mature,35,12,2,81,Imazapyr,1.8,76,,,,Imazapyr,
Hairy Nightshade,Clay,Mature,36,3,7,41,Metolachlor,2.9,94,,,,Metolachlor,
Cutleaf Nightshade,Loamy,Early,30,0,4,39,Glyphosate,2.3,85,,,,Glyphosate,
Ground Cherry,Clay,Early,32,15,1,58,Flumioxazin,1.1,91,,,,Flumioxazin,
Hairy Nightshade,Clay,Mature,35,12,0,82,Metolachlor,2.9,88,,,,Metolachlor,
Ground Cherry,Loamy,Early,21,5,3,76,Trifluralin,2.4,73,,,,Trifluralin,
Cutleaf Nightshade,Clay,Early,34,3,1,87,Sulfentrazone,2.1,88,,,,Sulfentrazone,
Hairy Nightshade,Loamy,Mature,37,9,5,61,Imazapyr,1.8,75,,,,Imazapyr,
Ground Cherry,Clay,Early,40,5,0,58,Atrazine,2.4,87,,,,Atrazine,
Ground Cherry,Sandy,Early,22,9,3,81,Atrazine,2.3,74,,,,Atrazine,
Black Nightshade,Loamy,Early,38,15,4,72,Flumioxazin,1.4,71,,,,Flumioxazin,
Ground Cherry,Sandy,Early,25,5,4,43,Glyphosate,1.3,70,,,,Glyphosate,
Black Nightshade,Loamy,Early,33,2,5,86,Atrazine,1.7,87,,,,Atrazine,
Ground Cherry,Loamy,Mature,37,3,0,76,Glufosinate,1.3,86,,,,Glufosinate,
Black Nightshade,Loamy,Early,28,13,3,90,Glufosinate,1,92,,,,Glufosinate,
Ground Cherry,Loamy,Mature,29,11,1,51,Glyphosate,1.4,89,,,,Glyphosate,
